local,valoraciong,reseñasg
Teatro Príncipe Gran Vía,4.2,2601
El Golfo Comedy Club,4.7,1082
Teatro Arlequín Gran Vía,4.2,5264
Teatro Capitol Gran Vía,4.2,4902
Estación Malasaña,4.5,344
Teatro Alcázar,4.3,6730
Cinesa Fuencarral,4.2,6918
El Sombrerero Comedy Club,4.5,4
Teatro de las Aguas,4.2,1848
Abonavida,4.3,1274
Beer Station,4.4,3382
Teatros Luchana,4.5,3371
Pequeño Teatro Gran Vía de Madrid,4.5,1975
The Mun,4.9,31
Gran teatro Caixabank Príncipe Pío,4.4,8021
Estupenda Bar,4.2,1047
Teatro Chocita del Loro - Avenida Brasil,4.4,982
Teatro Reina Victoria,4.3,5892
Cine Palacio de la Prensa,4.1,2503
Teatro Chocita del Loro - Carabanchel,4.5,1440
Clandestino Café Teatro,4.4,119
Teatro Chocita del Loro - Gran Vía,4.5,4273
Cervecería Valverde Comedy Club,4.0,1085
Collage Burlesque,4.6,56
Sala Houdini,4.8,2869
Tropicana Beach Club Madrid,4.1,290
La Cripta Mágica,4.8,1033
Teatro Rey de Pikas,4.9,428
Intruso Bar,4.3,1999
Cine Palacio de la Prensa,4.1,2503
Teatro Bellas Artes,4.2,2870
Sala Galileo Galilei,4.3,4057
Bala Perdida Club (Hotel Axel Madrid),4.4,1872
Sala Kathedral,3.7,158
Vodevil Circus,4.9,159
Teatro Real Carlos III de Aranjuez,4.5,1013
Teatro EDP Gran Vía,4.2,9571
Teatro Lara,4.4,11024
OFF LATINA,4.5,1774
Platea Café Teatro,4.6,361
Cafetería Valverde,4.0,1085
Teatro Amaya,4.3,4296
Teatro Victoria Madrid,4.4,1326
La Casa de Rovodorovsky Teatro,4.3,3
La Nota Rock,4.5,578
Sleep'n Atocha,4.4,1947
Mad Beer Hall,4.3,990
Escuela de Danza y Centro Deportivo Belo Art,4.9,98
